id,name,lat,lon,departure,arrival,x_transformed,y_transformed,cluster
2,Buckingham Fountain,41.87651123,-87.62054801,0.0,0.0,448508.33485980466,4636251.695202439,0
3,Shedd Aquarium,41.86722596,-87.61535539,0.0,0.0,448931.8180300407,4635217.67661276,0
4,Burnham Harbor,41.856268,-87.613348,47.0,25.0,449089.7198399697,4633999.856273715,0
5,State St & Harrison St,41.874053,-87.627716,137.0,130.0,447911.5526623127,4635983.090023546,0
6,Dusable Harbor,41.886976,-87.612813,53.0,53.0,449158.4676547382,4637408.958406485,0
7,Field Blvd & South Water St,41.88634906,-87.61751655,36.0,24.0,448767.7388865786,4637342.148352946,0
9,Leavitt St & Archer Ave,41.82879202,-87.68060446,62.0,62.0,443482.96871365735,4630991.354147803,1
11,Jeffery Blvd & 71st St,41.76663824,-87.57645011,61.0,66.0,452085.6511891729,4624027.418090907,-1
12,South Shore Dr & 71st St,41.76640946,-87.56568757,0.0,0.0,452980.0663885918,4623996.078454232,-1
13,Wilton Ave & Diversey Pkwy,41.932418,-87.652705,3.0,4.0,445887.23798644054,4642478.692355993,0
14,Morgan St & 18th St,41.858086,-87.651073,0.0,0.0,445959.91343104374,4634224.759173744,0
15,Racine Ave & 18th St,41.858166,-87.656495,2.0,1.0,445509.9446010412,4634237.068151144,0
16,Paulina Ave & North Ave,41.910337,-87.670072,11.0,7.0,444428.25642357254,4640038.18678902,0
17,Honore St & Division St,41.903119,-87.673935,67.0,98.0,444101.5844594594,4639239.297552302,0
18,Wacker Dr & Washington St,41.883132,-87.637321,21.0,18.0,447122.0026430565,4636996.979972536,0
19,Throop (Loomis) St & Taylor St,41.868968,-87.659141,24.0,26.0,445299.5296572794,4635438.064721343,0
20,Sheffield Ave & Kingsbury St,41.910522,-87.653106,35.0,36.0,445835.4776446387,4640047.8738451945,0
21,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,42.0,29.0,445668.2412250984,4636407.690325951,0
22,May St & Taylor St,41.8694821,-87.6554864,67.0,70.0,445603.2531429469,4635492.821407506,0
23,Orleans St & Elm St,41.902924,-87.637715,23.0,25.0,447105.6450804538,4639194.679824811,0
24,Fairbanks Ct & Grand Ave,41.89184737,-87.6205802,52.0,51.0,448517.977031465,4637954.445144084,0
25,Michigan Ave & Pearson St,41.89766,-87.62351,63.0,74.0,448279.6158660208,4638601.5691608,0
26,McClurg Ct & Illinois St,41.890359,-87.617532,29.0,37.0,448769.66106058046,4637787.370789087,0
27,Larrabee St & North Ave,41.91021,-87.6435,20.0,17.0,446631.88295167184,4640007.211622726,0
28,Larrabee St & Menomonee St,41.91468,-87.64332,94.0,102.0,446650.5336694983,4640503.394453648,0
29,Noble St & Milwaukee Ave,41.90068,-87.6626,56.0,46.0,445039.66020840505,4638961.176857706,0
30,Ashland Ave & Augusta Blvd,41.899643,-87.6677,85.0,85.0,444615.73494270066,4638849.320982017,0
31,Franklin St & Chicago Ave,41.89674697,-87.63566762,25.0,25.0,447270.3812181411,4638507.598248754,0
32,Racine Ave & Congress Pkwy,41.87464,-87.65703,21.0,24.0,445479.5374726825,4636066.467834611,0
33,State St & Van Buren St,41.877181,-87.627844,26.0,28.0,447903.47147027985,4636330.460727392,0
34,Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,31.0,29.0,447397.7903884941,4641838.675707398,0
35,Streeter Dr & Grand Ave,41.892278,-87.612043,80.0,78.0,449226.54915334226,4637997.169822248,0
36,Franklin St & Jackson Blvd,41.87770796,-87.63532114,31.0,35.0,447283.47209665383,4636393.5332019795,0
37,Dearborn St & Adams St,41.87935636,-87.62979104,63.0,45.0,447743.6837648797,4636573.168596805,0
38,Clark St & Lake St,41.88602083,-87.63087606,47.0,44.0,447659.0943142427,4637313.768068031,0
39,Wabash Ave & Adams St,41.87947235,-87.62568861,493.0,502.0,448084.1744049589,4636583.556912525,0
40,LaSalle St & Adams St,41.87934437,-87.63198522,93.0,89.0,447561.6131344386,4636573.175690877,0
41,Federal St & Polk St,41.87207763,-87.62954377,51.0,58.0,447758.2733969771,4635764.88116254,0
42,Wabash Ave & Cermak Rd,41.852619,-87.626488,77.0,74.0,447996.087795661,4633602.594075731,0
43,Michigan Ave & Washington St,41.88398406,-87.62468398,65.0,49.0,448171.17903125053,4637083.872622241,0
44,State St & Randolph St,41.8847302,-87.62773357,35.0,34.0,447918.76531011367,4637168.560859407,0
45,Michigan Ave & Ida B Wells Dr,41.876243,-87.624426,54.0,58.0,448186.32998454594,4636224.24818254,0
46,Wells St & Walton St,41.89993001,-87.63443007,21.0,15.0,447375.6517789314,4638860.243781797,0
47,State St & Kinzie St,41.889187,-87.627754,285.0,248.0,447920.6901719097,4637663.4001612,0
48,Larrabee St & Kingsbury St,41.897764,-87.642884,90.0,95.0,446672.6146410026,4638624.977038353,0
49,Dearborn St & Monroe St,41.88131982,-87.62952092,55.0,51.0,447767.6958526092,4636791.001774263,0
50,Clark St & Ida B Wells Dr,41.87593267,-87.63058454,42.0,24.0,447675.0507513166,4636193.529244101,0
51,Clark St & Randolph St,41.88457623,-87.63188991,110.0,103.0,447573.79841227696,4637153.996807719,0
52,Michigan Ave & Lake St,41.886024,-87.624117,115.0,151.0,448219.8676802733,4637310.019485032,0
53,Wells St & Huron St,41.894722,-87.634362,88.0,89.0,447377.0226025675,4638281.969119801,0
54,Ogden Ave & Chicago Ave,41.89636246,-87.65406127,63.0,66.0,445744.2666593385,4638476.375304834,0
55,Halsted St & Roosevelt Rd,41.867324,-87.648625,68.0,83.0,446170.8513153857,4635248.888557874,0
56,Desplaines St & Kinzie St,41.88871604,-87.64444785,115.0,118.0,446535.34701614425,4637621.377383827,0
57,Clinton St & Roosevelt Rd,41.86711778,-87.64108796,111.0,111.0,446796.17940730025,4635221.293867869,0
58,Marshfield Ave & Cortland St,41.916017,-87.668879,47.0,46.0,444532.1153462645,4640668.053562302,0
59,Wabash Ave & Roosevelt Rd,41.867227,-87.625961,27.0,28.0,448051.6582273343,4635224.155630803,0
60,Dayton St & North Ave,41.91057803,-87.64942193,103.0,68.0,446141.0598836226,4640051.774829943,0
61,Wood St & Milwaukee Ave,41.907655,-87.672552,26.0,29.0,444220.2442537979,4639742.0196548505,0
62,McCormick Place,41.85137517,-87.61883465,79.0,71.0,448630.38946964114,4633459.88902564,0
66,Clinton St & Lake St,41.885637,-87.641823,96.0,97.0,446750.5537973251,4637277.88733778,0
67,Sheffield Ave & Fullerton Ave,41.92560188,-87.65370804,44.0,37.0,445798.3103362736,4641722.543947392,0
68,Clinton St & Tilden St,41.875885,-87.640795,48.0,46.0,446827.7588586267,4636194.511631198,0
69,Damen Ave & Pierce Ave,41.90939601,-87.67769193,20.0,19.0,443795.4765580092,4639938.675623095,0
71,Morgan St & Lake St,41.88548331,-87.65230486,0.0,0.0,445880.78263901745,4637267.380900719,0
72,Wabash Ave & 16th St,41.860384,-87.625813,0.0,0.0,448058.40247085865,4634464.308671181,0
73,Jefferson St & Monroe St,41.880422,-87.642746,0.0,0.0,446669.6393410272,4636699.452825818,0
74,Kingsbury St & Erie St,41.89380806,-87.64169723,138.0,139.0,446767.772933856,4638185.021526882,0
75,Canal St & Jackson Blvd,41.877245,-87.639366,77.0,92.0,446947.460575393,4636344.624369011,0
76,Lake Shore Dr & Monroe St,41.880958,-87.616743,32.0,36.0,448827.6151184872,4636743.131935399,0
77,Clinton St & Madison St,41.882242,-87.641066,87.0,104.0,446810.5435124091,4636900.479954423,0
80,Aberdeen St & Monroe St,41.880419,-87.655519,0.0,0.0,445609.8216362914,4636707.135817202,0
81,Daley Center Plaza,41.884241,-87.629634,100.0,100.0,447760.6929339994,4637115.401393443,0
84,Milwaukee Ave & Grand Ave,41.891578,-87.648384,48.0,52.0,446211.195866618,4637941.593655506,0
85,Michigan Ave & Oak St,41.90096039,-87.62377664,37.0,37.0,448260.1621755409,4638968.164399365,0
86,Eckhart Park,41.89637337,-87.66098386,90.0,86.0,445170.0300604681,4638481.987521589,0
87,Racine Ave & Fullerton Ave,41.92556258,-87.65840426,55.0,52.0,445408.8915684862,4641721.159746285,0
88,Racine Ave & Randolph St,41.884069,-87.656853,277.0,243.0,445502.2372627195,4637113.232030339,0
89,Financial Pl & Ida B Wells Dr,41.87502363,-87.63309404,263.0,217.0,447466.0708567375,4636094.134011497,0
90,Millennium Park,41.8810317,-87.62408432,0.0,0.0,448218.5481502051,4636755.718063772,0
91,Clinton St & Washington Blvd,41.88338,-87.64117,0.0,0.0,446802.85853966186,4637026.8935407,0
92,Carpenter St & Huron St,41.894556,-87.653449,55.0,56.0,445793.5284090288,4638275.42133966,0
93,Sheffield Ave & Willow St,41.913688,-87.652855,235.0,235.0,445858.9697416939,4640399.229823988,0
94,Clark St & Armitage Ave,41.918306,-87.636282,0.0,0.0,447237.17288232537,4640901.627941866,0
95,Stony Island Ave & 64th St,41.778881,-87.586647,0.0,0.0,451247.3573059932,4625392.402354191,2
96,Desplaines St & Randolph St,41.88461619,-87.64457058,58.0,64.0,446521.7458878085,4637166.25804629,0
97,Field Museum,41.865312,-87.617867,219.0,222.0,448721.8498378043,4635006.672601727,0
98,LaSalle St & Washington St,41.882664,-87.63253,34.0,37.0,447519.1267728703,4636942.0782297,0
99,Lake Shore Dr & Ohio St,41.89257,-87.614492,63.0,61.0,449023.6179850779,4638031.041927683,0
100,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,36.0,41.0,447203.4555445682,4637563.867746889,0
101,63rd St Beach,41.78101637,-87.57611976,30.0,38.0,452123.8035769977,4625623.5675640525,-1
102,Stony Island Ave & 67th St,41.7734585,-87.58533974,242.0,229.0,451351.898412149,4624789.628039075,-1
103,Clinton St & Polk St,41.87146652,-87.64094913,276.0,287.0,446811.3060663123,4635704.03578081,0
106,State St & Pearson St,41.897448,-87.628722,40.0,36.0,447847.104152214,4638581.186473704,0
107,Desplaines St & Jackson Blvd,41.878287,-87.643909,60.0,57.0,446571.3632130654,4636463.132909744,0
108,Halsted St & Polk St,41.87184,-87.64664,106.0,103.0,446339.36355249886,4635749.044179053,0
109,900 W Harrison St,41.874754,-87.649807,2.0,1.0,446079.00194516755,4636074.56209945,0
110,Dearborn St & Erie St,41.893992,-87.629318,63.0,49.0,447794.85084965295,4638197.837667881,0
111,Sedgwick St & Huron St,41.894666,-87.638437,37.0,34.0,447038.936530431,4638278.258931901,0
112,Green St & Randolph St,41.883668,-87.64867,65.0,55.0,446180.83089196455,4637063.5457786815,0
113,Bissell St & Armitage Ave,41.91844,-87.65222,70.0,72.0,445915.6426976475,4640926.43428617,0
114,Sheffield Ave & Waveland Ave,41.949399,-87.654529,143.0,123.0,445750.41364480805,4644365.220061557,0
115,Sheffield Ave & Wellington Ave,41.936266,-87.652662,18.0,12.0,445894.0553887152,4642905.902361767,0
116,Western Ave & Winnebago Ave,41.91552,-87.687022,0.0,0.0,443027.1275817208,4640624.765944427,0
117,Wilton Ave & Belmont Ave,41.94018,-87.65304,22.0,14.0,445866.02929489285,4643340.706308314,0
118,Sedgwick St & North Ave,41.911386,-87.638677,0.0,0.0,447032.8483606591,4640134.790761611,0
119,Ashland Ave & Lake St,41.88592,-87.66717,0.0,0.0,444647.8501868106,4637325.347154381,0
120,Wentworth Ave & Cermak Rd (Temp),41.853005,-87.630578,50.0,56.0,447656.8956774277,4633647.93547008,0
121,Blackstone Ave & Hyde Park Blvd,41.802562,-87.590368,61.0,61.0,450956.18082786346,4628023.712649969,3
122,Ogden Ave & Congress Pkwy,41.87501,-87.67328,30.0,32.0,444131.4251138549,4636117.997606787,4
123,California Ave & Milwaukee Ave,41.922695,-87.697153,19.0,20.0,442193.4627672899,4641428.1728582205,0
124,Damen Ave & Cullerton St,41.855048,-87.675726,135.0,132.0,443911.0106253533,4633903.269780971,-1
125,Rush St & Hubbard St,41.890173,-87.626185,61.0,62.0,448051.6559657763,4637771.922140236,0
126,Clark St & North Ave,41.911974,-87.631942,77.0,81.0,447591.8829999883,4640195.937929227,0
127,Lincoln Ave & Fullerton Ave,41.925905,-87.64926,68.0,73.0,446167.3726428991,4641753.396713859,0
128,Damen Ave & Chicago Ave,41.895769,-87.67722,59.0,64.0,443822.6723867997,4638425.389325941,0
129,Blue Island Ave & 18th St,41.857556,-87.661535,72.0,96.0,445091.0932685696,4634172.552611292,0
130,Damen Ave & Division St,41.903266,-87.678435,47.0,53.0,443728.4666243749,4639258.560715819,0
131,Lincoln Ave & Belmont Ave,41.939365,-87.668385,109.0,111.0,444593.28862016427,4643260.022343364,0
132,Wentworth Ave & 24th St (Temp),41.85008369,-87.63214052,82.0,84.0,447524.8055616738,4633324.545630037,0
133,Kingsbury St & Kinzie St,41.88917683,-87.63850577,25.0,21.0,447028.69653551345,4637668.852465982,0
134,Peoria St & Jackson Blvd,41.8776416,-87.64961779,14.0,22.0,446097.1292069842,4636395.045518543,0
135,Halsted St & 21st St,41.85378,-87.64665,14.0,16.0,446323.4306601269,4633743.903183279,0
136,Racine Ave & 13th St,41.865054,-87.656959,7.0,4.0,445477.2836623026,4635002.116579596,0
137,Morgan Ave & 14th Pl,41.862378,-87.651062,37.0,47.0,445964.4400355584,4634701.279880179,0
138,Clybourn Ave & Division St,41.904613,-87.640552,10.0,10.0,446871.733380127,4639383.9588608,0
140,Dearborn Pkwy & Delaware Pl,41.898969,-87.629912,48.0,88.0,447749.63234883366,4638750.783547695,0
141,Clark St & Lincoln Ave,41.915689,-87.6346,54.0,51.0,447374.5010690072,4640610.034222391,0
142,McClurg Ct & Erie St,41.894503,-87.617854,60.0,60.0,448746.26098277216,4638247.660961091,0
143,Sedgwick St & Webster Ave,41.922167,-87.638888,32.0,38.0,447024.2665464124,4641331.913895286,0
144,Larrabee St & Webster Ave,41.921822,-87.64414,23.0,26.0,446588.4880480312,4641296.867081471,0
145,Mies van der Rohe Way & Chestnut St,41.89858665,-87.62191523,36.0,41.0,448412.6490006865,4638703.492713511,0
146,Loomis St & Jackson Blvd,41.877945,-87.662007,32.0,34.0,445069.37339434586,4636436.586351575,0
147,Indiana Ave & 26th St,41.845687,-87.622481,5.0,3.0,448323.1260096438,4632830.538314664,5
148,State St & 33rd St,41.834734,-87.625813,161.0,158.0,448037.64960685035,4631616.475429017,5
149,Calumet Ave & 33rd St,41.8349,-87.61793,63.0,63.0,448692.3243653001,4631630.167225015,5
150,Fort Dearborn Dr & 31st St,41.838556,-87.608218,7.0,7.0,449501.604255941,4632030.324274022,5
152,Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,9.0,3.0,445396.93437355413,4642461.012203764,0
153,Southport Ave & Wellington Ave,41.935733,-87.663576,27.0,30.0,444988.81793861906,4642853.669936071,0
154,Southport Ave & Belmont Ave,41.93949,-87.66378,26.0,22.0,444975.13587639824,4643270.934759126,0
156,Clark St & Wellington Ave,41.93649682,-87.64753866,0.0,0.0,446318.9779007327,4642928.309147055,0
157,Lake Shore Dr & Wellington Ave,41.93668845,-87.63682902,127.0,96.0,447206.9702268556,4642942.934885474,0
158,Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,126.0,93.0,443491.5319775539,4640298.615128289,0
159,Claremont Ave & Hirsch St,41.907781,-87.685854,91.0,76.0,443117.1162680024,4639764.744913244,0
160,Campbell Ave & North Ave,41.910535,-87.689556,66.0,78.0,442812.5388901573,4640072.977580641,0
161,Rush St & Superior St,41.89576475,-87.62590803,61.0,67.0,448079.1624042174,4638392.592562537,0
162,Damen Ave & Wellington Ave,41.93588,-87.67842,72.0,76.0,443758.3569408073,4642879.622781924,6
163,Damen Ave & Clybourn Ave,41.931931,-87.677856,24.0,16.0,443801.64664517966,4642440.801710625,6
164,Franklin St & Lake St,41.885837,-87.6355,12.0,14.0,447275.31424689776,4637296.188568089,0
165,Clark St & Grace St,41.95078,-87.659172,30.0,31.0,445366.76347805985,4644521.499949571,0
166,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,20.0,20.0,444574.0545289531,4642090.417032699,0
167,Damen Ave & Coulter St,41.8492,-87.67564,56.0,47.0,443913.04042844346,4633253.9286051635,-1
168,Michigan Ave & 14th St,41.864059,-87.623727,0.0,0.0,448234.502601788,4634871.07268208,0
169,Canal St & Harrison St,41.874255,-87.639573,31.0,37.0,446927.8105898342,4636012.780984029,0
170,Clinton St & 18th St,41.85795,-87.640826,45.0,49.0,446810.321891451,4634203.260803286,0
171,May St & Cullerton St,41.855136,-87.654127,40.0,34.0,445703.93016314495,4633899.156580598,0
172,Rush St & Cedar St,41.9023087,-87.62769053,0.0,0.0,447936.6141754792,4639120.2320445515,0
173,Mies van der Rohe Way & Chicago Ave,41.89691,-87.621743,58.0,57.0,448425.5863499346,4638517.234756566,0
174,Canal St & Madison St,41.882091,-87.639833,80.0,84.0,446912.72140516,4636882.951367774,0
175,Wells St & Polk St,41.872596,-87.633502,47.0,43.0,447430.22901725414,4635824.85092692,0
176,Clark St & Elm St,41.902973,-87.63128,14.0,17.0,447639.42933595553,4639196.1724237995,0
177,Theater on the Lake,41.926277,-87.630834,23.0,20.0,447695.45340260136,4641783.295279792,0
178,State St & 19th St,41.856594,-87.627542,54.0,58.0,447911.8217267404,4634044.56437127,0
179,MLK Jr Dr & Pershing Rd,41.8246,-87.61678,15.0,23.0,448779.60070805973,4630485.910337867,7
180,Ritchie Ct & Banks St,41.906866,-87.626217,15.0,17.0,448062.5294349864,4639625.3254906265,0
181,LaSalle St & Illinois St,41.890762,-87.631697,79.0,80.0,447594.8595228413,4637840.669056317,0
182,Wells St & Elm St,41.903222,-87.634324,32.0,32.0,447387.15262396383,4639225.680776476,0
183,Damen Ave & Thomas St (Augusta Blvd),41.901315,-87.677409,25.0,26.0,443811.85622222465,4639041.272939729,0
184,State St & 35th St,41.8309,-87.62803,1.0,0.0,447850.45528922154,4631192.143858423,5
185,Stave St & Armitage Ave,41.917741,-87.691392,30.0,33.0,442666.72138831235,4640874.271646988,0
186,Ogden Ave & Race Ave,41.891795,-87.658751,21.0,21.0,445351.34847822145,4637972.237491517,0
188,Greenview Ave & Fullerton Ave,41.92533,-87.6658,16.0,20.0,444795.47568449937,4641700.071783027,0
190,Southport Ave & Wrightwood Ave,41.928773,-87.663913,13.0,12.0,444954.8961373025,4642081.128912611,0
191,Canal St & Monroe St,41.88169,-87.63953,77.0,80.0,446937.5298129507,4636838.242020401,0
192,Canal St & Adams St,41.879255,-87.639904,93.0,96.0,446904.4827274312,4636568.121852496,0
193,State St & 29th St,41.841707,-87.626938,162.0,148.0,447949.8892761284,4632391.344091798,5
194,Wabash Ave & Wacker Pl,41.886875,-87.62603,37.0,33.0,448061.8434158369,4637405.659871845,0
195,Columbus Dr & Randolph St,41.884728,-87.619521,137.0,136.0,448600.1396293081,4637163.365003618,0
196,Cityfront Plaza Dr & Pioneer Ct,41.890573,-87.622072,214.0,203.0,448393.1941371646,4637813.851227946,0
197,Michigan Ave & Madison St,41.882134,-87.625125,19.0,17.0,448133.0920534056,4636878.731873524,0
198,Green St & Madison St,41.881892,-87.648789,5.0,5.0,446169.4668803146,4636866.435811324,0
199,Wabash Ave & Grand Ave,41.891466,-87.626761,47.0,47.0,448004.9193762024,4637915.829536408,0
200,MLK Jr Dr & 47th St,41.809851,-87.616279,109.0,109.0,448809.4620790756,4628848.08881636,-1
201,Indiana Ave & 40th St,41.82168,-87.6216,77.0,72.0,448376.97731786256,4630164.598713553,7
202,Halsted St & 18th St,41.857499,-87.646277,35.0,31.0,446357.5003302716,4634156.578904951,0
203,Western Ave & 21st St,41.854109,-87.685838,21.0,20.0,443070.8216293526,4633805.670377514,-1
204,Prairie Ave & Garfield Blvd,41.794853,-87.618691,11.0,10.0,448597.1252850851,4627184.364080429,8
205,Paulina St & 18th St,41.857901,-87.668745,37.0,36.0,444492.9422300791,4634215.49293457,0
206,Halsted St & Archer Ave,41.847203,-87.646795,0.0,0.0,446305.8945125385,4633013.770941184,9
207,Emerald Ave & 28th St,41.84358,-87.645368,35.0,37.0,446421.3356353483,4632610.630183887,9
208,Laflin St & Cullerton St,41.85491458,-87.66355991,0.0,0.0,444920.7538858133,4633880.580891402,0
209,Normal Ave & Archer Ave,41.849527,-87.640591,41.0,35.0,446822.8507345403,4633267.936589204,9
210,Ashland Ave & Division St,41.90345,-87.667747,77.0,68.0,444615.1264386454,4639272.034056858,0
211,St. Clair St & Erie St,41.894448,-87.622663,334.0,257.0,448347.2869900941,4638244.438376569,0
212,Wells St & Hubbard St,41.889906,-87.634266,2.0,1.0,447381.03360726975,4637747.201732545,0
213,Leavitt St & North Ave,41.910153,-87.68229,64.0,63.0,443414.8012389689,4640025.7458689185,0
214,Damen Ave & Grand Ave,41.89122,-87.67686,189.0,145.0,443848.5512266888,4637920.088927336,0
215,Damen Ave & Madison St,41.88137,-87.67493,83.0,67.0,444000.0608882076,4636825.206838779,4
216,California Ave & Division St,41.903029,-87.697474,55.0,60.0,442149.08966296737,4639244.911380481,10
217,Elizabeth (May) St & Fulton St,41.88661649,-87.65803993,81.0,93.0,445405.9284859793,4637396.827765285,0
